thk,kgm,h,b,profileCode,code,localIndex
3,0.881370525,20,20,EA,EN 10056,0
3,1.119578775,25,25,EA,EN 10056,1
4,1.4610106,25,25,EA,EN 10056,2
5,1.786561875,25,25,EA,EN 10056,3
3,1.357787025,30,30,EA,EN 10056,4
4,1.7786216,30,30,EA,EN 10056,5
5,2.183575625,30,30,EA,EN 10056,6
6,2.5726491,30,30,EA,EN 10056,7
3,1.834203525,40,40,EA,EN 10056,8
4,2.4138436,40,40,EA,EN 10056,9
5,2.977603125,40,40,EA,EN 10056,10
6,3.5254821,40,40,EA,EN 10056,11
2.5,1.736935156,45,45,EA,EN 10056,12
3.5,2.403918256,45,45,EA,EN 10056,13
4.5,3.055020806,45,45,EA,EN 10056,14
6,4.0018986,45,45,EA,EN 10056,15
7,4.613299775,45,45,EA,EN 10056,16
3,2.310620025,50,50,EA,EN 10056,17
4,3.0490656,50,50,EA,EN 10056,18
5,3.771630625,50,50,EA,EN 10056,19
6,4.4783151,50,50,EA,EN 10056,20
7,5.169119025,50,50,EA,EN 10056,21
8,5.8440424,50,50,EA,EN 10056,22
4,3.6842876,60,60,EA,EN 10056,23
5,4.565658125,60,60,EA,EN 10056,24
6,5.4311481,60,60,EA,EN 10056,25
7,6.280757525,60,60,EA,EN 10056,26
8,7.1144864,60,60,EA,EN 10056,27
10,8.7343025,60,60,EA,EN 10056,28
5,5.359685625,70,70,EA,EN 10056,29
6,6.3839811,70,70,EA,EN 10056,30
7,7.392396025,70,70,EA,EN 10056,31
8,8.3849304,70,70,EA,EN 10056,32
10,10.3223575,70,70,EA,EN 10056,33
5,5.756699375,75,75,EA,EN 10056,34
6,6.8603976,75,75,EA,EN 10056,35
8,9.0201524,75,75,EA,EN 10056,36
10,11.116385,75,75,EA,EN 10056,37
5,6.153713125,80,80,EA,EN 10056,38
6,7.3368141,80,80,EA,EN 10056,39
8,9.6553744,80,80,EA,EN 10056,40
10,11.9104125,80,80,EA,EN 10056,41
6,8.2896471,90,90,EA,EN 10056,42
8,10.9258184,90,90,EA,EN 10056,43
10,13.4984675,90,90,EA,EN 10056,44
12,16.0075944,90,90,EA,EN 10056,45
6,9.2424801,100,100,EA,EN 10056,46
8,12.1962624,100,100,EA,EN 10056,47
10,15.0865225,100,100,EA,EN 10056,48
12,17.9132604,100,100,EA,EN 10056,49
15,22.03426313,100,100,EA,EN 10056,50
16,23.3761696,100,100,EA,EN 10056,51
7,12.95058853,120,120,EA,EN 10056,52
8,14.7371504,120,120,EA,EN 10056,53
10,18.2626325,120,120,EA,EN 10056,54
12,21.7245924,120,120,EA,EN 10056,55
15,26.79842813,120,120,EA,EN 10056,56
10,23.0267975,150,150,EA,EN 10056,57
12,27.4415904,150,150,EA,EN 10056,58
15,33.94467563,150,150,EA,EN 10056,59
18,40.3048359,150,150,EA,EN 10056,60
20,44.46554,150,150,EA,EN 10056,61
16,43.7032736,180,180,EA,EN 10056,62
12,36.9699204,200,200,EA,EN 10056,63
15,45.85508813,200,200,EA,EN 10056,64
16,48.7850496,200,200,EA,EN 10056,65
18,54.5973309,200,200,EA,EN 10056,66
20,60.34609,200,200,EA,EN 10056,67
24,71.6530416,200,200,EA,EN 10056,68
25,74.44007813,200,200,EA,EN 10056,69
25,94.29076563,250,250,EA,EN 10056,70
28,104.9386744,250,250,EA,EN 10056,71
35,129.2279756,250,250,EA,EN 10056,72
3.18,0.561056655,12.7,12.7,EA,ASTM,73
3.18,0.884257609,19.1,19.1,EA,ASTM,74
3.18,1.202408548,25.4,25.4,EA,ASTM,75
4.76,1.740114442,25.4,25.4,EA,ASTM,76
6.35,2.241202171,25.4,25.4,EA,ASTM,77
3.18,1.525609501,31.8,31.8,EA,ASTM,78
4.76,2.223899518,31.8,31.8,EA,ASTM,79
6.35,2.886587723,31.8,31.8,EA,ASTM,80
3.18,1.84376044,38.1,38.1,EA,ASTM,81
4.76,2.700125451,38.1,38.1,EA,ASTM,82
6.35,3.521889126,38.1,38.1,EA,ASTM,83
9.52,5.040435752,38.1,38.1,EA,ASTM,84
3.18,2.166961394,44.5,44.5,EA,ASTM,85
4.76,3.183910526,44.5,44.5,EA,ASTM,86
6.35,4.167274678,44.5,44.5,EA,ASTM,87
3.18,2.485112332,50.8,50.8,EA,ASTM,88
4.76,3.66013646,50.8,50.8,EA,ASTM,89
6.35,4.80257608,50.8,50.8,EA,ASTM,90
7.94,5.904868083,50.8,50.8,EA,ASTM,91
9.53,6.967012466,50.8,50.8,EA,ASTM,92
4.76,4.620147468,63.5,63.5,EA,ASTM,93
6.35,6.083263035,63.5,63.5,EA,ASTM,94
7.94,7.506230984,63.5,63.5,EA,ASTM,95
9.53,8.889051314,63.5,63.5,EA,ASTM,96
12.7,11.52618259,63.5,63.5,EA,ASTM,97
4.76,5.580158477,76.2,76.2,EA,ASTM,98
6.35,7.36394999,76.2,76.2,EA,ASTM,99
7.94,9.107593884,76.2,76.2,EA,ASTM,100
9.53,10.81109016,76.2,76.2,EA,ASTM,101
11.1,12.45376552,76.2,76.2,EA,ASTM,102
12.7,14.0875565,76.2,76.2,EA,ASTM,103
6.35,8.644636945,88.9,88.9,EA,ASTM,104
7.94,10.70895679,88.9,88.9,EA,ASTM,105
9.53,12.73312901,88.9,88.9,EA,ASTM,106
11.1,14.69244665,88.9,88.9,EA,ASTM,107
12.7,16.64893041,88.9,88.9,EA,ASTM,108
6.35,9.965660496,102,102,EA,ASTM,109
7.94,12.36075631,102,102,EA,ASTM,110
9.53,14.71570451,102,102,EA,ASTM,111
11.1,17.00163743,102,102,EA,ASTM,112
12.7,19.29097752,102,102,EA,ASTM,113
15.9,23.74769507,102,102,EA,ASTM,114
19.1,28.04179579,102,102,EA,ASTM,115
7.94,15.51304549,127,127,EA,ASTM,116
9.53,18.49924555,127,127,EA,ASTM,117
11.1,21.40849005,127,127,EA,ASTM,118
12.7,24.33305214,127,127,EA,ASTM,119
15.9,30.06021369,127,127,EA,ASTM,120
19.1,35.62475841,127,127,EA,ASTM,121
22.2,40.86033754,127,127,EA,ASTM,122
7.94,18.66533466,152,152,EA,ASTM,123
9.53,22.28278659,152,152,EA,ASTM,124
11.1,25.81534268,152,152,EA,ASTM,125
12.7,29.37512677,152,152,EA,ASTM,126
14.3,32.89425665,152,152,EA,ASTM,127
15.9,36.37273232,152,152,EA,ASTM,128
19.1,43.20772104,152,152,EA,ASTM,129
22.2,49.67404279,152,152,EA,ASTM,130
25.4,56.18887962,152,152,EA,ASTM,131
12.7,39.660959,203,203,EA,ASTM,132
14.3,44.47594176,203,203,EA,ASTM,133
15.9,49.25027031,203,203,EA,ASTM,134
19.1,58.67696479,203,203,EA,ASTM,135
22.2,67.6540015,203,203,EA,ASTM,136
25.4,76.76054409,203,203,EA,ASTM,137
28.6,85.70446985,203,203,EA,ASTM,138
22.2,85.63396021,254,254,EA,ASTM,139
25.4,97.33220856,254,254,EA,ASTM,140
28.7,109.2257083,254,254,EA,ASTM,141
31.8,120.2408548,254,254,EA,ASTM,142
35.1,131.7989573,254,254,EA,ASTM,143
19.1,74.14620855,254,254,EA,ASTM,144
25.4,117.903873,305,305,EA,ASTM,145
28.7,132.4700693,305,305,EA,ASTM,146
31.8,145.9959308,305,305,EA,ASTM,147
35.1,160.2267298,305,305,EA,ASTM,148
3,1.119578775,25,25,EA,JIS G 3192,149
3,1.357787025,30,30,EA,JIS G 3192,150
3,1.834203525,40,40,EA,JIS G 3192,151
5,2.977603125,40,40,EA,JIS G 3192,152
4,2.7314546,45,45,EA,JIS G 3192,153
5,3.374616875,45,45,EA,JIS G 3192,154
4,3.0490656,50,50,EA,JIS G 3192,155
5,3.771630625,50,50,EA,JIS G 3192,156
6,4.4783151,50,50,EA,JIS G 3192,157
4,3.6842876,60,60,EA,JIS G 3192,158
5,4.565658125,60,60,EA,JIS G 3192,159
5,4.962671875,65,65,EA,JIS G 3192,160
6,5.9075646,65,65,EA,JIS G 3192,161
8,7.7497084,65,65,EA,JIS G 3192,162
6,6.3839811,70,70,EA,JIS G 3192,163
6,6.8603976,75,75,EA,JIS G 3192,164
9,10.07620898,75,75,EA,JIS G 3192,165
12,13.1490954,75,75,EA,JIS G 3192,166
6,7.3368141,80,80,EA,JIS G 3192,167
6,8.2896471,90,90,EA,JIS G 3192,168
7,9.615673025,90,90,EA,JIS G 3192,169
10,13.4984675,90,90,EA,JIS G 3192,170
13,17.23833703,90,90,EA,JIS G 3192,171
7,10.72731153,100,100,EA,JIS G 3192,172
10,15.0865225,100,100,EA,JIS G 3192,173
13,19.30280853,100,100,EA,JIS G 3192,174
8,14.7371504,120,120,EA,JIS G 3192,175
